LeftTach: 0, LeftSteps: 0, RightTach: 0, RightSteps: 0
LeftTach: 27263, LeftSteps: 3928, RightTach: 26807, RightSteps: -4045
LeftTach: 27196, LeftSteps: 3971, RightTach: 25590, RightSteps: -4089
LeftTach: 28277, LeftSteps: 4013, RightTach: 27968, RightSteps: -4132
LeftTach: 31158, LeftSteps: 4056, RightTach: 34420, RightSteps: -4175
LeftTach: 33630, LeftSteps: 4100, RightTach: 32063, RightSteps: -4219
LeftTach: 25483, LeftSteps: 4144, RightTach: 23045, RightSteps: -4263
LeftTach: 28283, LeftSteps: 4186, RightTach: 25223, RightSteps: -4306
LeftTach: 31273, LeftSteps: 4228, RightTach: 29236, RightSteps: -4350
LeftTach: 38519, LeftSteps: 4270, RightTach: 34164, RightSteps: -4394
LeftTach: 26303, LeftSteps: 4313, RightTach: 24883, RightSteps: -4437
LeftTach: 25149, LeftSteps: 4356, RightTach: 25570, RightSteps: -4481
LeftTach: 31266, LeftSteps: 4399, RightTach: 29159, RightSteps: -4524
LeftTach: 31457, LeftSteps: 4442, RightTach: 33928, RightSteps: -4568
LeftTach: 27567, LeftSteps: 4486, RightTach: 29358, RightSteps: -4612
LeftTach: 24130, LeftSteps: 4529, RightTach: 24366, RightSteps: -4656
LeftTach: 26379, LeftSteps: 4570, RightTach: 26690, RightSteps: -4700
LeftTach: 35699, LeftSteps: 4613, RightTach: 32758, RightSteps: -4743
LeftTach: 34740, LeftSteps: 4656, RightTach: 36173, RightSteps: -4786
LeftTach: 23785, LeftSteps: 4700, RightTach: 22964, RightSteps: -4830
LeftTach: 26869, LeftSteps: 4743, RightTach: 27693, RightSteps: -4873
LeftTach: 32694, LeftSteps: 4785, RightTach: 31360, RightSteps: -4917
LeftTach: 35630, LeftSteps: 4826, RightTach: 32932, RightSteps: -4960
LeftTach: 26678, LeftSteps: 4869, RightTach: 27458, RightSteps: -5004
LeftTach: 25589, LeftSteps: 4912, RightTach: 24035, RightSteps: -5048
LeftTach: 30774, LeftSteps: 4955, RightTach: 29880, RightSteps: -5093
LeftTach: 36515, LeftSteps: 4998, RightTach: 33644, RightSteps: -5136
LeftTach: 28506, LeftSteps: 5041, RightTach: 27449, RightSteps: -5180
LeftTach: 26254, LeftSteps: 5084, RightTach: 24575, RightSteps: -5224
LeftTach: 28354, LeftSteps: 5128, RightTach: 27830, RightSteps: -5267
LeftTach: 29263, LeftSteps: 5170, RightTach: 30353, RightSteps: -5311
LeftTach: 33405, LeftSteps: 5212, RightTach: 31863, RightSteps: -5354
LeftTach: 24940, LeftSteps: 5255, RightTach: 26182, RightSteps: -5398
LeftTach: 24219, LeftSteps: 5298, RightTach: 23893, RightSteps: -5443
LeftTach: 32189, LeftSteps: 5341, RightTach: 30708, RightSteps: -5486
LeftTach: 34879, LeftSteps: 5383, RightTach: 35918, RightSteps: -5530
LeftTach: 27116, LeftSteps: 5426, RightTach: 27120, RightSteps: -5574
LeftTach: 24373, LeftSteps: 5470, RightTach: 23748, RightSteps: -5618
LeftTach: 26558, LeftSteps: 5513, RightTach: 27414, RightSteps: -5662
LeftTach: 32550, LeftSteps: 5556, RightTach: 31477, RightSteps: -5705
LeftTach: 33284, LeftSteps: 5599, RightTach: 38104, RightSteps: -5748
LeftTach: 21568, LeftSteps: 5642, RightTach: 22364, RightSteps: -5792
LeftTach: 27302, LeftSteps: 5681, RightTach: 27412, RightSteps: -5835
LeftTach: 37413, LeftSteps: 5723, RightTach: 35506, RightSteps: -5879
LeftTach: 29883, LeftSteps: 5765, RightTach: 35318, RightSteps: -5922
LeftTach: 26998, LeftSteps: 5808, RightTach: 25886, RightSteps: -5965
LeftTach: 25119, LeftSteps: 5852, RightTach: 25717, RightSteps: -6010
LeftTach: 32230, LeftSteps: 5895, RightTach: 28728, RightSteps: -6053
LeftTach: 35741, LeftSteps: 5937, RightTach: 36190, RightSteps: -6097
LeftTach: 28066, LeftSteps: 5980, RightTach: 25307, RightSteps: -6140
LeftTach: 25189, LeftSteps: 6024, RightTach: 24696, RightSteps: -6184
LeftTach: 26822, LeftSteps: 6067, RightTach: 29190, RightSteps: -6228
LeftTach: 31000, LeftSteps: 6109, RightTach: 33090, RightSteps: -6271
LeftTach: 27988, LeftSteps: 6153, RightTach: 30840, RightSteps: -6315
LeftTach: 23208, LeftSteps: 6197, RightTach: 23454, RightSteps: -6359
LeftTach: 25593, LeftSteps: 6241, RightTach: 26350, RightSteps: -6403
LeftTach: 32454, LeftSteps: 6283, RightTach: 30915, RightSteps: -6447
LeftTach: 37221, LeftSteps: 6326, RightTach: 37667, RightSteps: -6490
LeftTach: 26843, LeftSteps: 6369, RightTach: 23052, RightSteps: -6535
LeftTach: 27395, LeftSteps: 6413, RightTach: 25146, RightSteps: -6578
LeftTach: 33609, LeftSteps: 6456, RightTach: 29388, RightSteps: -6622
LeftTach: 33313, LeftSteps: 6500, RightTach: 32889, RightSteps: -6665
LeftTach: 26739, LeftSteps: 6543, RightTach: 29380, RightSteps: -6708
LeftTach: 23912, LeftSteps: 6587, RightTach: 24746, RightSteps: -6753
LeftTach: 26908, LeftSteps: 6631, RightTach: 26692, RightSteps: -6796
LeftTach: 34815, LeftSteps: 6674, RightTach: 33435, RightSteps: -6840
LeftTach: 28468, LeftSteps: 6717, RightTach: 31732, RightSteps: -6884
LeftTach: 23302, LeftSteps: 6761, RightTach: 21764, RightSteps: -6928
LeftTach: 26578, LeftSteps: 6805, RightTach: 26651, RightSteps: -6972
LeftTach: 31952, LeftSteps: 6849, RightTach: 32726, RightSteps: -7016
LeftTach: 36555, LeftSteps: 6891, RightTach: 34643, RightSteps: -7059
LeftTach: 25808, LeftSteps: 6935, RightTach: 25051, RightSteps: -7103
LeftTach: 28454, LeftSteps: 6979, RightTach: 27647, RightSteps: -7147
LeftTach: 29700, LeftSteps: 7022, RightTach: 28032, RightSteps: -7190
LeftTach: 39448, LeftSteps: 7065, RightTach: 35352, RightSteps: -7233
LeftTach: 28605, LeftSteps: 7107, RightTach: 26337, RightSteps: -7277
LeftTach: 26775, LeftSteps: 7150, RightTach: 23206, RightSteps: -7321
LeftTach: 26426, LeftSteps: 7193, RightTach: 28647, RightSteps: -7364
LeftTach: 32345, LeftSteps: 7235, RightTach: 34452, RightSteps: -7407
LeftTach: 31741, LeftSteps: 7278, RightTach: 33198, RightSteps: -7451
LeftTach: 22420, LeftSteps: 7322, RightTach: 22494, RightSteps: -7496
LeftTach: 28584, LeftSteps: 7365, RightTach: 27186, RightSteps: -7539
LeftTach: 31480, LeftSteps: 7408, RightTach: 35782, RightSteps: -7583
LeftTach: 29657, LeftSteps: 7452, RightTach: 36516, RightSteps: -7626
LeftTach: 23939, LeftSteps: 7496, RightTach: 22903, RightSteps: -7669
LeftTach: 24937, LeftSteps: 7540, RightTach: 25429, RightSteps: -7712
LeftTach: 28437, LeftSteps: 7584, RightTach: 31833, RightSteps: -7756
LeftTach: 33290, LeftSteps: 7628, RightTach: 36605, RightSteps: -7799
LeftTach: 27999, LeftSteps: 7673, RightTach: 27020, RightSteps: -7843
LeftTach: 22814, LeftSteps: 7717, RightTach: 22656, RightSteps: -7887
LeftTach: 27242, LeftSteps: 7760, RightTach: 29720, RightSteps: -7931
LeftTach: 36131, LeftSteps: 7804, RightTach: 30495, RightSteps: -7974
LeftTach: 29271, LeftSteps: 7847, RightTach: 30209, RightSteps: -8017
LeftTach: 24173, LeftSteps: 7891, RightTach: 21642, RightSteps: -8061
LeftTach: 25134, LeftSteps: 7935, RightTach: 26385, RightSteps: -8104
LeftTach: 31835, LeftSteps: 7978, RightTach: 32015, RightSteps: -8148
LeftTach: 34061, LeftSteps: 8022, RightTach: 34636, RightSteps: -8192
LeftTach: 24964, LeftSteps: 8067, RightTach: 25861, RightSteps: -8235
LeftTach: 26932, LeftSteps: 8110, RightTach: 26332, RightSteps: -8280
LeftTach: 30459, LeftSteps: 8153, RightTach: 29286, RightSteps: -8324
LeftTach: 34959, LeftSteps: 8196, RightTach: 33628, RightSteps: -8367
LeftTach: 27425, LeftSteps: 8240, RightTach: 29331, RightSteps: -8410
LeftTach: 23168, LeftSteps: 8285, RightTach: 24976, RightSteps: -8454
LeftTach: 27896, LeftSteps: 8330, RightTach: 26902, RightSteps: -8498
LeftTach: 30804, LeftSteps: 8374, RightTach: 32128, RightSteps: -8540
LeftTach: 34501, LeftSteps: 8417, RightTach: 34463, RightSteps: -8584
LeftTach: 24850, LeftSteps: 8461, RightTach: 23267, RightSteps: -8628
LeftTach: 27009, LeftSteps: 8504, RightTach: 26452, RightSteps: -8673
LeftTach: 30526, LeftSteps: 8548, RightTach: 34177, RightSteps: -8716
LeftTach: 35399, LeftSteps: 8592, RightTach: 35951, RightSteps: -8759
LeftTach: 23921, LeftSteps: 8637, RightTach: 24544, RightSteps: -8803
LeftTach: 25440, LeftSteps: 8682, RightTach: 23631, RightSteps: -8847
LeftTach: 32080, LeftSteps: 8725, RightTach: 31006, RightSteps: -8891
LeftTach: 35314, LeftSteps: 8769, RightTach: 34229, RightSteps: -8934
LeftTach: 30048, LeftSteps: 8813, RightTach: 28416, RightSteps: -8978
LeftTach: 24766, LeftSteps: 8857, RightTach: 22928, RightSteps: -9022
LeftTach: 26648, LeftSteps: 8901, RightTach: 31257, RightSteps: -9066
LeftTach: 39393, LeftSteps: 8945, RightTach: 31419, RightSteps: -9109
LeftTach: 32215, LeftSteps: 8987, RightTach: 31883, RightSteps: -9152
LeftTach: 23659, LeftSteps: 9032, RightTach: 23862, RightSteps: -9196
LeftTach: 25409, LeftSteps: 9077, RightTach: 29540, RightSteps: -9240
LeftTach: 31098, LeftSteps: 9122, RightTach: 29923, RightSteps: -9283
LeftTach: 35108, LeftSteps: 9166, RightTach: 37262, RightSteps: -9325
LeftTach: 23897, LeftSteps: 9211, RightTach: 25671, RightSteps: -9369
LeftTach: 27134, LeftSteps: 9255, RightTach: 24192, RightSteps: -9413
LeftTach: 33992, LeftSteps: 9299, RightTach: 31624, RightSteps: -9457
LeftTach: 31184, LeftSteps: 9343, RightTach: 37063, RightSteps: -9500
LeftTach: 27492, LeftSteps: 9387, RightTach: 28446, RightSteps: -9544
LeftTach: 24066, LeftSteps: 9432, RightTach: 22374, RightSteps: -9588
LeftTach: 31291, LeftSteps: 9476, RightTach: 27091, RightSteps: -9631
LeftTach: 33907, LeftSteps: 9519, RightTach: 37242, RightSteps: -9675
LeftTach: 30481, LeftSteps: 9563, RightTach: 32172, RightSteps: -9718
LeftTach: 22492, LeftSteps: 9607, RightTach: 21052, RightSteps: -9762
LeftTach: 28867, LeftSteps: 9651, RightTach: 26760, RightSteps: -9806
LeftTach: 33220, LeftSteps: 9694, RightTach: 31038, RightSteps: -9849
